Depenses publiques;Dict;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgique;1;126881,32;129429,68;131189,3;131630,54;135478,97;137647,14;138758,81;142650,61;147266,63;146720,8;157482,77;151090,21;154484,95;161185,52;168940,84;169348,91;175595,74;180250,23;179293,53
Bulgarie;2;8030,62;7850,14;5341,66;6344,87;6739,04;7356,48;7531,99;7688,1;8008,97;8440,12;8674,41;8520,85;10335,94;10751,77;10956,97;9937,18;9633,08;9743,97;10624,04
République tchèque;3;41429,57;34076,24;34514,9;34756,77;34682,96;35620,92;38754,61;41120,58;46786,45;42438,63;44990,38;47029,16;48542,36;50168,76;52103,88;52196,07;52537,25;53565,63;50441,78
Danemark;4;100363,12;102511,74;101839,1;103305,32;104444,9;104623,5;106341,92;107625,77;109028,24;110519,96;109489,72;110633,75;110642,96;111288,31;118436,44;119252,28;120529,82;123635,81;119528,44
Allemagne ;5;1081002,36;974443,36;973200,37;987206,5;1009868,28;973810,52;1043355,73;1050038,03;1059199,21;1040568,1;1043243,6;1044936,37;1036217,85;1061889,63;1103178,71;1137940,76;1109591,21;1104873,73;1109646,39
Estonie;6;2364,3;2388,35;2533,21;2835,92;2893,17;2857,13;2927,27;3208,93;3361,54;3492,58;3757,05;4136,43;4499,25;5035,47;4870,33;4525,92;4603,44;5026,53;4914,31
Irlande;7;32157,67;33811,29;35318,98;36277,91;39677,99;39923,51;44743,91;47593,95;48926,97;51749,59;55222,02;59293,29;66209,22;75545,89;79645,68;107081,5;78670,47;71265,92;71524,34
Grèce;8;68576,76;67594,02;71187,16;72701,1;75491,37;73962,67;74921,67;76986,42;80838,92;85879,61;86100,17;92471,58;100170,14;106477,98;110068,42;99589,35;93412,63;89410,88;94174
Espagne;9;281629,42;280226,04;280315,19;289319,87;294167,18;303594,24;310719,94;320790,33;326450,3;341479,49;349170,43;363403,39;383881,17;409040,69;438972,26;439037,02;433565,54;446044,89;412938,94
France;10;754869,14;764329,85;776721,45;782220,01;804909,82;820251,05;835308,68;862635,96;878622,19;899293,59;920873,19;933027,69;947148,58;958979,04;988047,45;1003317,18;1010993,31;1025604,23;1035044,28
Croatie;11;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;14674,39;14798,95;15617,23;15853,24;16711,27;17477,37;17598,4;17432,28;17294,28;17695,12;16497,88;16402,27
Italie;12;649648,84;657020,31;641073,15;636049,1;632082,89;627820,61;664593,56;659196,39;672878,5;675985,04;688025,78;711962,73;710511,44;717050,43;723666,2;716279,78;708101,5;703855,11;690804,76
Chypre;13;3219,96;3474,79;3666,1;3869,65;4056,3;4306,09;4588,01;4932,28;5602,21;5551,43;5860,82;6032,03;6145,85;6489,55;6989,46;7080,94;7127,51;6880,44;6508,13
Lettonie;14;2555,87;2567,62;2746,6;3133,36;3430,38;3276,84;3274,39;3608,03;3765,57;4215,41;4628,15;5495,44;5681,27;5999,5;5505,9;5409,03;5039,85;5040,39;5190,02
Lituanie;15;3946,78;4395,05;6554,71;5775,62;5674,91;5736,29;5766,9;5816,18;6123,99;6614,16;7129,49;7731,42;8761,85;9681,18;9766,42;9347,75;9069,54;8769,77;8660,36
Luxembourg;16;7488,53;7870,07;8256,24;8878,59;9181,19;9549,87;9920,52;11247,79;11517,78;12251,25;12561,84;12260,75;12289,8;13140,53;14346,57;14235,2;14206,25;14614,05;14790,3
Hongrie;17;34930,91;32228,26;32266,19;34455,4;34168,22;34598,55;35882,93;40402,57;40491,73;41921,87;44471,52;48139,78;46808,07;45828,91;44638,07;43879,9;44569,2;42687,84;44315,05
Malte;18;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;1827,86;1906,49;1976,58;2176,94;2075,49;2149,87;2185,14;2200,39;2367,86;2258,75;2279,51;2321,27;2438,12;2541,85
Pays-Bas;19;222403,36;201436,16;201975,13;206364,68;212793,33;212524,74;222498,5;226592,15;231781,41;231934,12;230006,34;241529,02;249895,23;259457,81;278074,05;281772,74;276672,15;275959,3;270430,43
Autriche;20;108785,96;110677,36;108371,31;112894,21;116236,69;117114,95;116753,52;117342,36;119759,13;128847,72;122621,7;124833,46;128141,43;131854,03;135303,3;138220,63;136754,26;140117,07;139578,37
Pologne;21;76955,7;87413,03;85164,32;85360,47;85999,85;86303,55;93081,66;95503,22;100092,15;100488,25;106078,32;113982,53;117003,17;125916,12;132113,45;139694,07;139577,22;138423,72;139573,55
Portugal;22;50390,57;52872,72;54161,2;56670,43;59121,19;61584,18;65215,71;65562,13;67376,44;69499,32;71889,21;70739,36;71130,93;71765,66;77455,09;81650,16;77184,77;71812,75;72774,5
Roumanie;23;8721,76;21114,64;20936,46;21206,67;23132,86;23327,72;23119,67;23488,15;23658,81;25744,12;26813,44;30560,57;34962,28;38612,37;37725,4;36384,61;36581,99;34264,7;33829,36
Slovénie;24;10171,72;8909,92;9415,09;9943,14;10657,23;11183,95;11710,82;11876,17;12224,15;12596,5;12957,64;13472,29;13759,43;14830,3;15076,35;15516,86;15753,13;14891,03;18073,1
Slovaquie;25;12455,01;14717,29;13997,43;13681,79;14374,3;15782,71;13949,82;14785,85;13774,35;13604,95;14625,86;15220,94;15758,44;17005,69;19269,91;19251,98;19378;19372,06;19810,26
Finlande;26;67250,37;68065,29;68079,44;66830,21;67866,95;66779,19;67880,02;70565,1;73895,03;76790,14;79186,79;80871,32;82069,4;85436,05;89099,76;91603,74;93009,79;94745,81;96405,13
Suède;27;144919,62;144257,82;145066,02;147073,5;151792,64;145771,95;147765,31;154268,76;161091,03;161707,49;167722,84;169423,7;162952,7;156884,01;177517,78;174070,04;172998,39;177538,09;180417,72
Royaume-Uni;28;577361,39;576675,2;577112,5;584182,5;595164,34;587247,35;656129,27;689739,2;732753,41;772282,41;810334,12;836495,95;859211,73;927424,29;948560,76;947220,36;919415,5;925818,46;917726,68
Islande;29;3578,6;3705,92;3749,81;4045,46;4282,45;4457,03;4709,17;4903,92;5170,72;5380,23;5533,22;5711,39;6155,07;8495,69;7016,43;6808;6419,9;6513,85;6570,29
Norvège;30;93191,18;93325,54;94910,63;102246,38;101343,28;92794,44;98668,46;106963,44;110535,18;107522,82;102235,32;100081,8;103507,53;102292,45;116800,11;114818,35;113011,68;114695,55;119169,66
Suisse;31;91130,79;92625,03;94785,16;97652,6;97057,98;103230,96;102165,63;108531,61;106789,37;108169,68;108918,8;106584,22;107015,91;109332,02;113894,48;116570,3;117957,18;120609,45;#VALEUR!
